Market_ID,Plan_ID,PPO,Network Score,Satisfaction Score,Premium,Inside Good Share
48,9,1,0.85,0.775,2.6780956,0.30688
48,11,0,0.84,0.83,2.3913198,0.24403
49,14,0,0.92,0.85,2.4943598,0.21550
49,3,1,0.9,0.915,2.7067719,0.33313
49,9,1,0.85,0.775,2.5700302,0.25702
50,13,1,0.78,0.82,2.574705,0.26042
50,12,1,0.875,0.91,2.7148554,0.34134
50,5,0,0.86,0.8,2.4389608,0.19561
51,3,1,0.9,0.915,2.6788071,0.32697
51,5,0,0.86,0.8,2.3819413,0.18822
51,1,1,0.91,0.85,2.6630474,0.29488
52,11,0,0.84,0.83,2.3779213,0.22966
52,9,1,0.85,0.775,2.658231,0.29927
52,14,0,0.92,0.85,2.4816547,0.25900
53,12,1,0.875,0.91,2.6919759,0.32931
53,10,0,0.83,0.725,2.3956121,0.16311
53,1,1,0.91,0.85,2.7281049,0.30031
54,2,0,0.84,0.825,2.4156463,0.21838
54,4,1,0.84,0.78,2.6530475,0.29333
54,6,0,0.89,0.875,2.4307589,0.27476
55,1,1,0.91,0.85,2.6553365,0.28410
55,4,1,0.84,0.78,2.572084,0.22757
55,15,1,0.91,0.875,2.6375239,0.30196
56,14,0,0.92,0.85,2.4810599,0.26603
56,11,0,0.84,0.83,2.3660694,0.23038
56,8,0,0.92,0.925,2.4949052,0.28432
57,14,0,0.92,0.85,2.5001359,0.23056
57,16,0,0.88,0.865,2.4439146,0.23452
57,12,1,0.875,0.91,2.742633,0.32409
58,10,0,0.83,0.725,2.3703112,0.15177
58,3,1,0.9,0.915,2.706022,0.33128
58,15,1,0.91,0.875,2.6651876,0.32114
59,8,0,0.92,0.925,2.4761996,0.22792
59,3,1,0.9,0.915,2.6659785,0.30364
59,1,1,0.91,0.85,2.6380509,0.28517
60,11,0,0.84,0.83,2.3638158,0.19386
60,1,1,0.91,0.85,2.6658681,0.30127
60,3,1,0.9,0.915,2.6741672,0.31558
61,6,0,0.89,0.875,2.4724939,0.28842
61,10,0,0.83,0.725,2.3853849,0.20299
61,13,1,0.78,0.82,2.645656,0.28613
62,8,0,0.92,0.925,2.4737502,0.22989
62,7,1,0.9,0.85,2.6458006,0.29075
62,1,1,0.91,0.85,2.6492415,0.29408
63,2,0,0.84,0.825,2.3991287,0.20187
63,16,0,0.88,0.865,2.4303292,0.24689
63,15,1,0.91,0.875,2.7531335,0.34246
64,10,0,0.83,0.725,2.3958874,0.21173
64,11,0,0.84,0.83,2.4444903,0.23692
64,4,1,0.84,0.78,2.6957853,0.31931
65,10,0,0.83,0.725,2.4291022,0.19569
65,16,0,0.88,0.865,2.5131211,0.29085
65,5,0,0.86,0.8,2.4279167,0.26697
66,16,0,0.88,0.865,2.4591986,0.22296
66,15,1,0.91,0.875,2.716434,0.33742
66,13,1,0.78,0.82,2.5600735,0.23930
67,14,0,0.92,0.85,2.5097671,0.26644
67,9,1,0.85,0.775,2.7218998,0.27252
67,11,0,0.84,0.83,2.3932175,0.23861
68,14,0,0.92,0.85,2.494888,0.24411
68,5,0,0.86,0.8,2.4123889,0.21460
68,7,1,0.9,0.85,2.7520672,0.32652
69,3,1,0.9,0.915,2.7114166,0.34463
69,6,0,0.89,0.875,2.4527697,0.23066
69,9,1,0.85,0.775,2.6402213,0.22564
70,11,0,0.84,0.83,2.4136256,0.22450
70,2,0,0.84,0.825,2.4174973,0.22487
70,7,1,0.9,0.85,2.7893042,0.32945
71,13,1,0.78,0.82,2.6340692,0.28007
71,16,0,0.88,0.865,2.4528396,0.27117
71,11,0,0.84,0.83,2.3876136,0.23490
72,14,0,0.92,0.85,2.5304021,0.23254
72,6,0,0.89,0.875,2.4715444,0.26246
72,4,1,0.84,0.78,2.6442078,0.28985
73,5,0,0.86,0.8,2.3874708,0.23924
73,14,0,0.92,0.85,2.4844338,0.27228
73,16,0,0.88,0.865,2.4330128,0.26462
74,4,1,0.84,0.78,2.5795698,0.26720
74,16,0,0.88,0.865,2.4277847,0.22811
74,7,1,0.9,0.85,2.6741773,0.30786
75,14,0,0.92,0.85,2.4969885,0.23216
75,7,1,0.9,0.85,2.6951409,0.32354
75,13,1,0.78,0.82,2.5610142,0.24595
76,7,1,0.9,0.85,2.8484487,0.35290
76,13,1,0.78,0.82,3.0909153,0.09882
76,4,1,0.84,0.78,2.7409651,0.28642
77,15,1,0.91,0.875,2.7662272,0.32373
77,2,0,0.84,0.825,2.3913595,0.19410
77,8,0,0.92,0.925,2.4808734,0.27387
78,16,0,0.88,0.865,2.4249215,0.24623
78,5,0,0.86,0.8,2.3753233,0.21662
78,1,1,0.91,0.85,2.7385043,0.33100
79,12,1,0.875,0.91,2.7183562,0.30579
79,4,1,0.84,0.78,2.6088653,0.26563
79,6,0,0.89,0.875,2.4542406,0.23037
80,12,1,0.875,0.91,2.7452597,0.31421
80,4,1,0.84,0.78,2.6105182,0.26694
80,5,0,0.86,0.8,2.4098632,0.21311
81,11,0,0.84,0.83,2.416727,0.20799
81,16,0,0.88,0.865,2.4339002,0.25055
81,7,1,0.9,0.85,2.7575644,0.32865
82,6,0,0.89,0.875,2.4747085,0.19762
82,15,1,0.91,0.875,2.704359,0.30605
82,1,1,0.91,0.85,2.6837445,0.29947
83,4,1,0.84,0.78,2.6070974,0.22968
83,8,0,0.92,0.925,2.4958779,0.25737
83,15,1,0.91,0.875,2.6950221,0.31589
84,7,1,0.9,0.85,2.6579325,0.27789
84,15,1,0.91,0.875,2.7150792,0.28081
84,9,1,0.85,0.775,2.5522671,0.24997
85,13,1,0.78,0.82,2.5666079,0.24503
85,6,0,0.89,0.875,2.459158,0.23180
85,1,1,0.91,0.85,2.7111557,0.32462
86,7,1,0.9,0.85,2.7294294,0.32870
86,13,1,0.78,0.82,2.6095827,0.24547
86,5,0,0.86,0.8,2.4100135,0.21754
87,5,0,0.86,0.8,2.4071006,0.20675
87,7,1,0.9,0.85,2.6985618,0.32720
87,4,1,0.84,0.78,2.6095127,0.26252
88,14,0,0.92,0.85,2.5138423,0.28283
88,2,0,0.84,0.825,2.4088208,0.24019
88,5,0,0.86,0.8,2.4004254,0.24690
89,2,0,0.84,0.825,2.4312025,0.21508
89,7,1,0.9,0.85,2.8071521,0.32744
89,11,0,0.84,0.83,2.3833825,0.23815
90,5,0,0.86,0.8,2.3944355,0.22498
90,14,0,0.92,0.85,2.4961176,0.26624
90,6,0,0.89,0.875,2.4213903,0.28496
91,12,1,0.875,0.91,2.6506796,0.29778
91,9,1,0.85,0.775,2.5708493,0.23331
91,7,1,0.9,0.85,2.644628,0.28167
92,9,1,0.85,0.775,2.5711079,0.25596
92,1,1,0.91,0.85,2.6689429,0.31506
92,8,0,0.92,0.925,2.5027134,0.23535
93,6,0,0.89,0.875,2.40288,0.22075
93,3,1,0.9,0.915,2.6952315,0.29363
93,15,1,0.91,0.875,2.6505483,0.30228
94,12,1,0.875,0.91,2.7850193,0.33047
94,11,0,0.84,0.83,2.3804967,0.24207
94,2,0,0.84,0.825,2.4003788,0.21514
95,14,0,0.92,0.85,2.4887769,0.23030
95,9,1,0.85,0.775,2.593151,0.27440
95,12,1,0.875,0.91,2.7005405,0.29582
96,13,1,0.78,0.82,2.57047,0.25477
96,11,0,0.84,0.83,2.391535,0.20367
96,3,1,0.9,0.915,2.7265063,0.34354
97,15,1,0.91,0.875,2.7233204,0.31884
97,9,1,0.85,0.775,2.5900453,0.27824
97,11,0,0.84,0.83,2.3783239,0.20434
98,10,0,0.83,0.725,2.3555976,0.17610
98,15,1,0.91,0.875,2.7772984,0.35463
98,16,0,0.88,0.865,2.445175,0.25416
99,2,0,0.84,0.825,2.4242393,0.22280
99,13,1,0.78,0.82,2.630554,0.27886
99,8,0,0.92,0.925,2.5543652,0.28053
100,3,1,0.9,0.915,2.7524249,0.35561
100,13,1,0.78,0.82,2.5869603,0.25946
100,10,0,0.83,0.725,2.3751913,0.17752
101,10,0,0.83,0.725,2.3429622,0.12334
101,13,1,0.78,0.82,2.5309065,0.18537
101,3,1,0.9,0.915,2.6579111,0.25532
101,1,1,0.91,0.85,2.612367,0.27181
102,8,0,0.92,0.925,2.4191158,0.21115
102,7,1,0.9,0.85,2.6719947,0.23160
102,9,1,0.85,0.775,2.5395609,0.21193
102,6,0,0.89,0.875,2.3682438,0.18471
103,16,0,0.88,0.865,2.4416111,0.23168
103,2,0,0.84,0.825,2.4864534,0.15893
103,10,0,0.83,0.725,2.3514378,0.16361
103,13,1,0.78,0.82,2.6043879,0.25100
104,12,1,0.875,0.91,2.6544871,0.27719
104,13,1,0.78,0.82,2.5324144,0.20185
104,11,0,0.84,0.83,2.3465655,0.16192
104,14,0,0.92,0.85,2.4296204,0.19406
105,2,0,0.84,0.825,2.4484864,0.14149
105,5,0,0.86,0.8,2.366039,0.18034
105,11,0,0.84,0.83,2.3332754,0.18778
105,15,1,0.91,0.875,2.7086112,0.30838
106,16,0,0.88,0.865,2.4006835,0.18459
106,3,1,0.9,0.915,2.6698186,0.29934
106,2,0,0.84,0.825,2.3576201,0.15294
106,13,1,0.78,0.82,2.5227468,0.19712
107,10,0,0.83,0.725,2.3739591,0.11934
107,3,1,0.9,0.915,2.6721486,0.30737
107,4,1,0.84,0.78,2.5509274,0.23690
107,5,0,0.86,0.8,2.3663017,0.16320
108,16,0,0.88,0.865,2.4059038,0.23368
108,10,0,0.83,0.725,2.3782118,0.14290
108,11,0,0.84,0.83,2.3696731,0.18371
108,4,1,0.84,0.78,2.6263669,0.25208
109,15,1,0.91,0.875,2.6005059,0.26034
109,9,1,0.85,0.775,2.515609,0.19466
109,16,0,0.88,0.865,2.3732933,0.15670
109,12,1,0.875,0.91,2.6045431,0.23709
110,15,1,0.91,0.875,2.6336754,0.26985
110,3,1,0.9,0.915,2.6444905,0.27380
110,10,0,0.83,0.725,2.3382407,0.12411
110,13,1,0.78,0.82,2.5324276,0.17067
111,7,1,0.9,0.85,2.6471766,0.25463
111,8,0,0.92,0.925,2.4336909,0.22057
111,11,0,0.84,0.83,2.3274944,0.15150
111,4,1,0.84,0.78,2.5547451,0.21041
112,14,0,0.92,0.85,2.4469829,0.21305
112,15,1,0.91,0.875,2.7186692,0.27996
112,13,1,0.78,0.82,2.5627063,0.19688
112,10,0,0.83,0.725,2.3537799,0.13274
113,8,0,0.92,0.925,2.4462733,0.25098
113,6,0,0.89,0.875,2.3891856,0.22698
113,13,1,0.78,0.82,2.5987155,0.20794
113,10,0,0.83,0.725,2.3286986,0.13605
114,8,0,0.92,0.925,2.4295665,0.18921
114,7,1,0.9,0.85,2.5959494,0.23136
114,4,1,0.84,0.78,2.5213651,0.18562
114,1,1,0.91,0.85,2.5889157,0.24055
115,3,1,0.9,0.915,2.7603009,0.21800
115,14,0,0.92,0.85,2.445076,0.19451
115,13,1,0.78,0.82,2.5269247,0.18646
115,7,1,0.9,0.85,2.6790874,0.23168
116,10,0,0.83,0.725,2.3460002,0.13161
116,5,0,0.86,0.8,2.3744477,0.16903
116,1,1,0.91,0.85,2.6515943,0.29308
116,4,1,0.84,0.78,2.5557897,0.23442
117,1,1,0.91,0.85,2.6876348,0.29527
117,14,0,0.92,0.85,2.4282851,0.21187
117,6,0,0.89,0.875,2.4256433,0.18990
117,10,0,0.83,0.725,2.3506472,0.12331
118,7,1,0.9,0.85,2.6486544,0.23413
118,15,1,0.91,0.875,2.6428899,0.26644
118,16,0,0.88,0.865,2.3994025,0.15870
118,14,0,0.92,0.85,2.4316035,0.17517
119,15,1,0.91,0.875,2.7081096,0.30690
119,16,0,0.88,0.865,2.3875256,0.21181
119,10,0,0.83,0.725,2.3555777,0.12991
119,5,0,0.86,0.8,2.3562327,0.17250
120,8,0,0.92,0.925,2.405502,0.18928
120,14,0,0.92,0.85,2.4040397,0.16239
120,15,1,0.91,0.875,2.6026324,0.24898
120,1,1,0.91,0.85,2.5993048,0.24475
121,8,0,0.92,0.925,2.4464636,0.23327
121,10,0,0.83,0.725,2.3439691,0.13075
121,5,0,0.86,0.8,2.3567729,0.17095
121,3,1,0.9,0.915,2.7133768,0.28903
122,3,1,0.9,0.915,2.7537052,0.26610
122,4,1,0.84,0.78,2.6148444,0.21084
122,11,0,0.84,0.83,2.3497842,0.17430
122,5,0,0.86,0.8,2.3504354,0.17356
123,8,0,0.92,0.925,2.466772,0.23245
123,16,0,0.88,0.865,2.4131,0.19620
123,4,1,0.84,0.78,2.6071248,0.23539
123,5,0,0.86,0.8,2.3822718,0.15605
124,16,0,0.88,0.865,2.3748558,0.20360
124,2,0,0.84,0.825,2.3593176,0.16586
124,6,0,0.89,0.875,2.3678353,0.21258
124,3,1,0.9,0.915,2.78673,0.24190
125,3,1,0.9,0.915,2.6057637,0.25809
125,7,1,0.9,0.85,2.6238134,0.21386
125,2,0,0.84,0.825,2.3573469,0.13125
125,1,1,0.91,0.85,2.5901881,0.24153
126,13,1,0.78,0.82,2.5676512,0.23200
126,11,0,0.84,0.83,2.3636822,0.19869
126,10,0,0.83,0.725,2.3462028,0.14957
126,9,1,0.85,0.775,2.6111465,0.24100
127,5,0,0.86,0.8,2.3854273,0.20272
127,4,1,0.84,0.78,2.6841287,0.21937
127,13,1,0.78,0.82,2.567755,0.23978
127,10,0,0.83,0.725,2.3582694,0.15492
128,10,0,0.83,0.725,2.3960587,0.12903
128,14,0,0.92,0.85,2.467702,0.22521
128,13,1,0.78,0.82,2.6340986,0.18001
128,7,1,0.9,0.85,2.6904511,0.28233
129,16,0,0.88,0.865,2.3816326,0.21158
129,6,0,0.89,0.875,2.4265267,0.21717
129,4,1,0.84,0.78,2.6862044,0.20391
129,11,0,0.84,0.83,2.3325265,0.18664
130,15,1,0.91,0.875,2.6278559,0.27673
130,4,1,0.84,0.78,2.5256078,0.21215
130,14,0,0.92,0.85,2.5192183,0.15051
130,9,1,0.85,0.775,2.5562184,0.19682
131,7,1,0.9,0.85,2.6297361,0.19874
131,1,1,0.91,0.85,2.5850125,0.23748
131,3,1,0.9,0.915,2.6056626,0.24393
131,8,0,0.92,0.925,2.4678829,0.16635
132,6,0,0.89,0.875,2.4504522,0.18859
132,4,1,0.84,0.78,2.557525,0.24154
132,5,0,0.86,0.8,2.34683,0.16730
132,9,1,0.85,0.775,2.5766261,0.23320
133,13,1,0.78,0.82,2.5760917,0.21890
133,6,0,0.89,0.875,2.3900585,0.21661
133,11,0,0.84,0.83,2.3297274,0.18167
133,14,0,0.92,0.85,2.4275772,0.20965
134,5,0,0.86,0.8,2.3848214,0.16448
134,15,1,0.91,0.875,2.7224045,0.29843
134,8,0,0.92,0.925,2.4733163,0.23052
134,10,0,0.83,0.725,2.3736868,0.12416
135,12,1,0.875,0.91,2.6570526,0.27287
135,4,1,0.84,0.78,2.602342,0.21604
135,16,0,0.88,0.865,2.4186569,0.17475
135,11,0,0.84,0.83,2.3513377,0.16582
136,14,0,0.92,0.85,2.4260851,0.18530
136,12,1,0.875,0.91,2.6417045,0.27432
136,7,1,0.9,0.85,2.6369293,0.25675
136,10,0,0.83,0.725,2.3578452,0.11651
137,11,0,0.84,0.83,2.406067,0.13373
137,3,1,0.9,0.915,2.671619,0.26852
137,12,1,0.875,0.91,2.6523103,0.24432
137,13,1,0.78,0.82,2.5114475,0.18969
138,15,1,0.91,0.875,2.6347808,0.27571
138,5,0,0.86,0.8,2.3472373,0.15269
138,16,0,0.88,0.865,2.4937836,0.13078
138,3,1,0.9,0.915,2.6468561,0.27396
139,2,0,0.84,0.825,2.4021998,0.15805
139,13,1,0.78,0.82,2.5466755,0.21544
139,7,1,0.9,0.85,2.6707907,0.27393
139,5,0,0.86,0.8,2.3770878,0.17718
140,4,1,0.84,0.78,2.5474234,0.22075
140,9,1,0.85,0.775,2.5526867,0.22946
140,13,1,0.78,0.82,2.5194523,0.19823
140,6,0,0.89,0.875,2.4233776,0.18627
141,8,0,0.92,0.925,2.4643293,0.23851
141,4,1,0.84,0.78,2.5771751,0.25040
141,13,1,0.78,0.82,2.6005846,0.18335
141,2,0,0.84,0.825,2.4106422,0.15371
142,3,1,0.9,0.915,2.6489275,0.29054
142,4,1,0.84,0.78,2.535432,0.22513
142,13,1,0.78,0.82,2.5253772,0.17672
142,2,0,0.84,0.825,2.3817574,0.14620
143,14,0,0.92,0.85,2.4414663,0.18959
143,9,1,0.85,0.775,2.5628478,0.20131
143,13,1,0.78,0.82,2.5121828,0.18512
143,7,1,0.9,0.85,2.6202726,0.26131
144,3,1,0.9,0.915,2.6433326,0.27550
144,16,0,0.88,0.865,2.4048935,0.16763
144,10,0,0.83,0.725,2.3364085,0.11840
144,15,1,0.91,0.875,2.6317714,0.27554
145,7,1,0.9,0.85,2.6596843,0.27600
145,2,0,0.84,0.825,2.3722293,0.15923
145,11,0,0.84,0.83,2.3362413,0.16529
145,4,1,0.84,0.78,2.549579,0.23150
146,16,0,0.88,0.865,2.3953472,0.20475
146,14,0,0.92,0.85,2.4344226,0.21769
146,5,0,0.86,0.8,2.345914,0.18015
146,13,1,0.78,0.82,2.5865243,0.22001
147,14,0,0.92,0.85,2.4837346,0.16915
147,4,1,0.84,0.78,2.5455904,0.23526
147,2,0,0.84,0.825,2.3646426,0.14839
147,15,1,0.91,0.875,2.672488,0.27552
148,11,0,0.84,0.83,2.3902654,0.14455
148,6,0,0.89,0.875,2.3903396,0.20889
148,7,1,0.9,0.85,2.6583193,0.25492
148,9,1,0.85,0.775,2.5514396,0.22335
149,16,0,0.88,0.865,2.396054,0.18043
149,2,0,0.84,0.825,2.3734839,0.14277
149,15,1,0.91,0.875,2.6451064,0.27519
149,1,1,0.91,0.85,2.6852939,0.23551
150,9,1,0.85,0.775,2.535912,0.21415
150,7,1,0.9,0.85,2.621118,0.25320
150,10,0,0.83,0.725,2.3371639,0.11861
150,15,1,0.91,0.875,2.6424085,0.25117
151,9,1,0.85,0.775,2.6509776,0.25264
151,16,0,0.88,0.865,2.4321755,0.21094
151,2,0,0.84,0.825,2.3774248,0.17762
151,5,0,0.86,0.8,2.4128873,0.17163
152,3,1,0.9,0.915,2.716233,0.31288
152,2,0,0.84,0.825,2.3676974,0.17742
152,14,0,0.92,0.85,2.4342768,0.20981
152,5,0,0.86,0.8,2.5094343,0.11704
153,13,1,0.78,0.82,2.5401705,0.22398
153,7,1,0.9,0.85,2.662669,0.29278
153,10,0,0.83,0.725,2.4066153,0.12701
153,9,1,0.85,0.775,2.6933033,0.17818
154,15,1,0.91,0.875,2.6427474,0.26416
154,13,1,0.78,0.82,2.5580976,0.16358
154,9,1,0.85,0.775,2.5357839,0.21022
154,4,1,0.84,0.78,2.5461673,0.19881
155,16,0,0.88,0.865,2.3838532,0.19268
155,10,0,0.83,0.725,2.3522197,0.11864
155,12,1,0.875,0.91,2.647107,0.27026
155,7,1,0.9,0.85,2.6742599,0.24877
156,5,0,0.86,0.8,2.424486,0.18040
156,10,0,0.83,0.725,2.3814721,0.14998
156,4,1,0.84,0.78,2.6211193,0.27169
156,11,0,0.84,0.83,2.3728926,0.20687
157,4,1,0.84,0.78,2.5616119,0.25492
157,2,0,0.84,0.825,2.6402854,0.10164
157,13,1,0.78,0.82,2.5794475,0.20425
157,9,1,0.85,0.775,2.5811976,0.25455
158,4,1,0.84,0.78,2.5293282,0.21768
158,9,1,0.85,0.775,2.544838,0.21370
158,12,1,0.875,0.91,2.6204548,0.25358
158,5,0,0.86,0.8,2.3731442,0.15282
159,1,1,0.91,0.85,2.6847809,0.25045
159,5,0,0.86,0.8,2.3646708,0.16043
159,11,0,0.84,0.83,2.3465207,0.15147
159,7,1,0.9,0.85,2.6320809,0.26945
160,16,0,0.88,0.865,2.3711566,0.19925
160,14,0,0.92,0.85,2.4469993,0.18550
160,5,0,0.86,0.8,2.3342054,0.16221
160,15,1,0.91,0.875,2.687078,0.27999
161,6,0,0.89,0.875,2.3941536,0.23460
161,11,0,0.84,0.83,2.3340256,0.20084
161,10,0,0.83,0.725,2.3465809,0.13414
161,8,0,0.92,0.925,2.4382682,0.24801
162,9,1,0.85,0.775,2.6158742,0.25232
162,11,0,0.84,0.83,2.3615182,0.19526
162,10,0,0.83,0.725,2.3503648,0.14512
162,13,1,0.78,0.82,2.5556143,0.23095
163,16,0,0.88,0.865,2.3830973,0.17062
163,15,1,0.91,0.875,2.6258478,0.26149
163,3,1,0.9,0.915,2.6356878,0.26459
163,11,0,0.84,0.83,2.322279,0.14403
164,2,0,0.84,0.825,2.3643199,0.15529
164,5,0,0.86,0.8,2.3401349,0.17276
164,15,1,0.91,0.875,2.6901686,0.29361
164,8,0,0.92,0.925,2.4740495,0.20428
165,6,0,0.89,0.875,2.3824432,0.24477
165,14,0,0.92,0.85,2.4414478,0.22132
